amino_acid,B97D_vs_xTB_mean,B97D_vs_xTB_std,MP2_vs_xTB_mean,MP2_vs_xTB_std,MP2_vs_B97D_mean,MP2_vs_B97D_std
m,0.19111666666666668,0.01685154954958808,0.20631666666666668,0.014797231347639182,0.055733333333333336,0.0020805982045769634
n,0.40245,0.03390785307270278,0.43649999999999994,0.04055276398307108,0.08168333333333333,0.014743294144193902
p,0.6702833333333333,0.009529151180573315,0.6370833333333333,0.03027421436727228,0.06766666666666667,0.023512880630742708
q,0.2837833333333333,0.02649115680541129,0.10305000000000002,0.02361607856242579,0.22446666666666662,0.010180646126624551
r,0.5366333333333334,0.12575507500251784,0.09145000000000002,0.027199923406754905,0.106,
s,0.11875000000000001,0.041846574929536744,0.13026666666666664,0.04630959823717853,0.04033333333333333,0.00039860869143671366
t,0.11638333333333332,0.0167733336645469,0.06438333333333333,0.015964065550131298,0.07265,0.0008381527307120083
v,0.09823333333333334,0.048180586224006124,0.08725,0.035442053646292375,0.044366666666666665,0.005982660129258742
w,0.5158666666666667,0.1767864688135253,0.5520499999999999,0.19178020188052083,0.06715,0.050090742657700735
y,0.12221666666666665,0.0339502781857364,0.5120333333333332,0.09426198715400723,0.40463333333333334,0.09752590539042548
